|,|__gsrAvg,|__gsrResponse,|__gsrThreshold,|__hrAvg,|__hrv,|__rr,|__seconds,|__stChange,|__stThreshold
13:49:47,0.10834,0,0.10224,79,0.01449211,0.68,464,0.153,86.227
13:49:48,0.10858,0,0.10339,79,0.01439648,0.664,465,0.153,86.227
13:49:49,0.10882,0.00543,0.10339,79,0.014312337,0.697,466,0.153,86.227
13:49:50,0.10906,0.00567,0.10339,79,0.014324452,0.73,467,0.153,86.227
13:49:51,0.1093,0.00591,0.10339,79,0.014263262,0.713,468,0.153,86.227
13:49:52,0.10954,0.00615,0.10339,79,0.014226715,0.713,469,0.153,86.227
13:49:53,0.10978,0.00639,0.10339,79,0.014197571,0.763,470,0.153,86.227
13:49:54,0.11002,0.00663,0.10339,79,0.014213535,0.73,471,0.153,86.227
13:49:55,0.11026,0.00687,0.10339,79,0.014217768,0.713,472,0.153,86.227
13:49:56,0.1105,0.00711,0.10339,79,0.014235992,0.664,473,0.153,86.227
13:49:57,0.11074,0.00735,0.10339,79,0.014299571,0.73,474,0.153,86.227
13:49:58,0.11098,0.00759,0.10339,79,0.014362867,0.664,475,0.153,86.227
13:49:59,0.11122,0.00783,0.10339,79,0.014922429,0.465,476,0.153,86.227
13:50:00,0.11146,0.00807,0.10339,79,0.015225146,0.614,477,0.153,86.227
13:50:01,0.1117,0.00831,0.10339,79,0.015355146,0.713,478,0.153,86.227
13:50:10,0.11394,0.01055,0.10339,78,0.016780661,0.713,487,0.153,86.227
13:50:11,0.11472,0.01133,0.10339,78,0.016785897,0.747,489,0.153,86.227
13:50:13,0.11498,0.01159,0.10339,78,0.016746151,0.713,491,0.183,86.227
13:50:14,0.11524,0.01185,0.10339,79,0.016899241,0.597,492,0.183,86.227
13:50:16,0.11574,0.01235,0.10339,79,0.017479791,0.68,494,0.183,86.227
13:50:17,0.11598,0.01259,0.10339,79,0.017406823,0.863,495,0.183,86.227
13:50:19,0.11622,0.01283,0.10339,79,0.017237313,0.747,496,0.183,86.227
13:50:02,0.11194,0.00855,0.10339,79,0.015415906,0.78,479,0.153,86.227
13:50:20,0.1167,0.01331,0.10339,79,0.016501991,0.813,498,0.183,86.227
13:50:21,0.11694,0.01355,0.10339,79,0.016501991,0.763,499,0.183,86.227
13:50:22,0.11718,0.01379,0.10339,79,0.016501991,0.813,500,0.183,86.227
13:50:23,0.11742,0.01403,0.10339,79,0.01658507,0.896,501,0.183,86.227
13:50:24,0.11766,0.01427,0.10339,78,0.017000367,0.713,502,0.183,86.227
13:50:25,0.1179,0.01451,0.10339,78,0.017010164,0.68,503,0.183,86.227
13:50:26,0.11816,0.01477,0.10339,78,0.017261723,0.448,504,0.183,86.227
13:50:27,0.11842,0.01503,0.10339,78,0.020424514,1.045,505,0.183,86.227
13:50:28,0.11868,0.01529,0.10339,78,0.021152133,0.763,506,0.183,86.227
13:50:29,0.11894,0.01555,0.10339,78,0.0210244,0.83,507,0.183,86.227
13:50:03,0.11218,0.00879,0.10339,79,0.015445744,0.73,480,0.153,86.227
13:50:30,0.1192,0.01581,0.10339,78,0.021966077,0.431,508,0.183,86.227
13:50:31,0.11944,0.01605,0.10339,78,0.022964643,0.763,509,0.183,86.227
13:50:33,0.11992,0.01653,0.10339,78,0.023106277,0.697,511,0.183,86.227
13:50:35,0.1204,0.01701,0.10339,78,0.023086342,0.747,513,0.183,86.227
13:50:36,0.12064,0.01725,0.10339,78,0.023084032,0.747,514,0.183,86.227
13:50:37,0.12088,0.01749,0.10339,78,0.023076814,0.73,515,0.183,86.227
13:50:38,0.12112,0.01773,0.10339,78,0.02326655,0.581,516,0.183,86.227
13:50:39,0.12136,0.01797,0.10339,78,0.02396525,0.863,517,0.183,86.227
13:50:04,0.11242,0.00903,0.10339,78,0.015649189,0.597,481,0.153,86.227
13:50:40,0.1216,0.01821,0.10339,78,0.024254507,0.68,518,0.183,86.227
13:50:42,0.12212,0.01873,0.10339,77,0.024235517,0.73,520,0.223,86.227
13:50:43,0.12238,0.01899,0.10339,77,0.024292162,0.813,521,0.223,86.227
13:50:44,0.12264,0.01925,0.10339,77,0.02427157,0.813,522,0.223,86.227
13:50:45,0.1229,0.01951,0.10339,77,0.024243524,0.846,523,0.223,86.227
13:50:46,0.12316,0.01977,0.10339,77,0.024227576,0.796,524,0.223,86.227
